Year,Team,Finish,TourneyWins,Weekend,Seed,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,eFGPct,TOPct,ORPct,FTRate,OppeFGPct,OppTOPct,OppORPct,OppFTRate,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate
2002,2002 McNeese St.,H. First Round,1,1,14,68.6084,65.6792,102.226,103.553,92.412,97.8228,5.73024,49.1038,22.9615,37.4506,40.173,46.0402,22.712,33.3649,40.352,46.7756,36.7033,65.3846,13.3097,44.3656,33.4052,61.9938,7.8246,28.1211,29.164,52.18,48.855,0.1218,0.1118
2002,2002 Miami FL,H. First Round,1,1,5,70.5375,68.5524,104.557,110.135,93.077,93.973,16.1625,49.1855,20.0316,33.2192,35.628,45.5172,24.125,36.5617,34.5889,47.7441,34.5029,77.1386,15.6766,45.0495,30.9064,67.4847,9.9262,35.9432,35.7029,64.1809,53.183,0.1241,0.1028
2002,2002 Michigan St.,H. First Round,1,1,10,64.8412,62.9567,107.569,113.29,98.5233,96.0881,17.2017,51.6324,23.0284,39.1485,34.7038,45.4624,17.1594,29.7587,32.4277,48.8294,39.3013,77.0035,8.9337,46.0134,29.7533,72.1925,8.7793,27.6904,39.8266,57.3298,57.1637,0.0776,0.1109
2002,2002 Mississippi,H. First Round,1,1,9,66.967,64.2148,107.729,114.224,95.6265,95.8383,18.3854,53.0554,22.6873,34.7872,42.3934,48.0831,23.3313,32.1212,40.5112,50.6764,37.8689,73.5736,5.1818,48.3636,31.6129,67.8233,11.5505,38.8288,29.7125,57.6602,51.8409,0.1075,0.1085
2002,2002 Mississippi St.,G.Second Round,2,1,3,70.0123,67.6977,104.527,111.797,94.7267,92.8341,18.9632,52.8753,23.6117,39.1267,39.2875,46.3803,22.1132,31.8731,28.9093,53.1117,34.8457,65.285,9.0375,47.0242,30.0985,68.7813,6.7185,28.0407,34.3147,60.0212,46.6042,0.1191,0.1114
2002,2002 Missouri,D. Elite Eight,4,2,12,70.7578,68.7099,112.716,115.323,101.992,100.214,15.1086,52.996,19.959,39.659,31.4692,49.2941,20.0369,33.3838,36.2353,49.6829,39.0887,68.9704,9.7222,47.4747,36.414,66.8831,7.8224,37.0173,25.4588,52.2793,54.8999,0.1029,0.101
2002,2002 Montana,H. First Round,1,1,15,70.0308,68.3682,101.955,102.418,105.028,106.604,-4.18602,51.4085,21.1651,28.5862,43.5339,50.5751,19.3396,33.6511,41.5254,50.9,34.8754,67.6471,9.935,47.0752,38.087,68.0758,8.9,35.9795,34.8063,59.4326,60.4683,0.0755,0.0923
2002,2002 Murray St.,H. First Round,1,1,14,72.066,68.8517,106.506,106.304,103.119,105.225,1.07887,49.0201,20.0085,40.5797,28.984,50.4635,21.0228,32.6107,41.2514,49.476,32.0066,71.8861,12.5,50.085,34.1818,70.5056,7.0359,31.0985,31.8656,49.2974,57.6577,0.1051,0.1074
2002,2002 North Carolina St.,G.Second Round,2,1,7,69.9059,67.2156,108.394,112.169,96.7003,93.9116,18.2573,52.4607,19.087,30.9711,38.9005,48.8391,23.5632,30.6437,40.2985,51.4512,35.9638,75.5047,5.6648,49.5673,31.4126,73.6626,9.7625,40.4712,29.7402,63.2677,54.8185,0.1136,0.0984
2002,2002 Notre Dame,G.Second Round,2,1,8,70.3693,68.1446,109,115.319,95.8235,97.5508,17.7678,51.4736,18.5731,35.672,34.0447,45.0614,19.6631,33.5849,26.4865,49.037,37.8641,71.194,10.9142,42.6648,33.6538,67.5325,8.6667,31.4024,30.6634,67.0759,56.5271,0.1099,0.1016
